id,type,family,axis,line_no,tokens_before,text,note
02b8d816,,,,,426,,
0b0a3643,kill,sign,transcription,33,549,s4: x != -|a-b|: EQ4 result carries no sign glyph but -|a-b| always writes one -> drop.,EQ4 result DOES carry a sign glyph
0d2e94ff,kill,range,verdict,39,770,"s6: x != |a-b|, a mod b, b mod a, b-a, a-b: EQ1 result has 2 digit(s) (value 10..99) but with a in 10..99, b in 10..99: |a-b| <= 89, a mod b <= 98, b mod a <= 98, b-a <= 89, a-b <= 89 -> drop.",|a-b| <= 89 does not miss 10..99 | a mod b <= 98 does not miss 10..99 | b mod a <= 98 does not miss 10..99 | b-a <= 89 does not miss 10..99
10b71e8a,kill,sign,transcription,36,571,s4: y != -|a-b|: EQ3 result has no sign glyph but -|a-b| always writes one -> drop.,EQ3 result DOES carry a sign glyph
12734c90,kill,range,verdict,37,668,"s5: y != |a-b|, a mod b, b mod a, b-a, a-b: EQ2 result has 1 digit(s) (value 0..9) but with a in 10..99, b in 10..99: |a-b| >= 0, a mod b <= 98, b mod a <= 98, b-a >= -89, a-b >= -89 -> drop.",|a-b| >= 0 does not miss 0..9 | a mod b <= 98 does not miss 0..9 | b mod a <= 98 does not miss 0..9 | b-a >= -89 does not miss 0..9
162ff61a,kill,range,verdict,37,663,"s5: y != |a-b|, a mod b, b mod a, b-a, a-b: EQ2 result has 2 digit(s) (value 10..99) but with a in 10..99, b in 10..99: |a-b| <= 89, a mod b <= 98, b mod a <= 98, b-a <= 89, a-b <= 89 -> drop.",|a-b| <= 89 does not miss 10..99 | a mod b <= 98 does not miss 10..99 | b mod a <= 98 does not miss 10..99 | b-a <= 89 does not miss 10..99
191ac967,kill,range,verdict,36,539,"s3: z != |a-b|, a mod b, b mod a, b-a, a-b: EQ4 result has 2 digit(s) (value 10..99) but with a in 10..99, b in 10..99: |a-b| <= 89, a mod b <= 98, b mod a <= 98, b-a <= 89, a-b <= 89 -> drop.",|a-b| <= 89 does not miss 10..99 | a mod b <= 98 does not miss 10..99 | b mod a <= 98 does not miss 10..99 | b-a <= 89 does not miss 10..99
193c21d5,kill,enum,transcription,46,769,"s13: x != a mod b: EQ1 readings: a=32, b=43: a mod b = 32, result digit 1 would be 3 but 3 is taken by A; a=32, b=53: a mod b = 32, result digit 1 would be 3 but 3 is taken by A; a=42, b=34: a mod b = 8, 1 digit(s) but the result has 2; a=42, b=54: a mod b = 42, result digit 1 would be 4 but 4 is taken by A; a=52, b=35: a mod b = 17, result digit 1 would be 1 but 1 is taken by E; a=52, b=45: a mod b = 7, 1 digit(s) but the result has 2 -> drop.",3 not pinned to A (None) | 3 not pinned to A (None) | 4 not pinned to A (None)
1ab54795,kill,sign,transcription,35,593,s4: x != -|a-b|: EQ2 result has no sign glyph but -|a-b| always writes one -> drop.,EQ2 result DOES carry a sign glyph
1d15b7e6,union,digit-map,verdict,18,311,} -> H,"'}' should map to I (first-appearance), got H"
1fb37a08,kill,range,verdict,34,654,"s5: x != |a-b|, a+b, a+b-1, a+b+1, a mod b, b mod a, b-a, a-b: EQ1 result has 3 digit(s) (value 100..999) but with a in 10..99, b in 10..99: |a-b| <= 89, a+b <= 198, a+b-1 <= 197, a+b+1 <= 199, a mod b <= 98, b mod a <= 98, b-a <= 89, a-b <= 89 -> drop.",a+b <= 198 does not miss 100..999 | a+b-1 <= 197 does not miss 100..999 | a+b+1 <= 199 does not miss 100..999
23b0eb54,table-scan,,transcription,7,137,"EQ3 \(--|| chars: 1=\ 2=( 3=- 4=| 5=| -> op - ; digits \ ( | | ; RHS -:/ -> leading - is the op glyph (sign), digits : /",LHS '\\(--||' != prompt '\\(-||'
23c59364,table-scan,,verdict,6,93,"EQ2 }#+`| chars: 1=} 2=# 3=+ 4=` 5=| -> op + ; digits } # ` | ; RHS +>` -> leading + is the op glyph (sign), digits > |",RHS digit list != own stated RHS minus sign
289602f1,table-scan,,transcription,9,251,EQ5 ^^}#: chars: 1=^ 2=^ 3=} 4=# 5=: -> op } ; digits ^ ^ # : ; RHS |!: -> digits | ! :,RHS '|!:' != prompt '|:!'
2a5e45a4,kill,range,verdict,36,527,"s3: z != |a-b|, a mod b, b mod a, b-a, a-b: EQ3 result has 1 digit(s) (value 0..9) but with a in 10..99, b in 10..99: |a-b| >= -89, a mod b >= -98, b mod a >= -97, b-a >= -89, a-b >= -89 -> drop.",|a-b| >= -89 does not miss 0..9 | a mod b >= -98 does not miss 0..9 | b mod a >= -97 does not miss 0..9 | b-a >= -89 does not miss 0..9
2c9a8df6,kill,onesenum,verdict,41,656,"s11: z != a*b: EQ3 ones: a ends E in {2,3,4}, b ends 1, result ends a's ones symbol; 2*1 ends 2; 3*1 ends 3; 4*1 ends 4 -> none matches -> drop.",3 stated pair(s) actually match the target
2d89386e,kill,onesenum,verdict,44,722,"s11: z != a*b: EQ3 ones: a ends 1, b ends E in {2,3,4,5,6,7,8,9}, result ends A in {2,3,4,5,6,7,8,9}; 1*2 ends 2; 1*3 ends 3; 1*4 ends 4; 1*5 ends 5; 1*6 ends 6; 1*7 ends 7; 1*8 ends 8; 1*9 ends 9 -> none matches -> drop.",8 stated pair(s) actually match the target
2ff200fb,kill,onesenum,verdict,43,727,"s11: x != a*b-1: EQ1 ones: a ends B in {2,3}, b ends D in {2,3}, result ends G in {4,5,6}; 2*3 then -1 ends 5; 3*2 then -1 ends 5 -> none matches -> drop.",2 stated pair(s) actually match the target
35a562bd,kill,onesenum,verdict,45,729,"s13: x != a+b: EQ1 ones: a ends A in {3,4,5,6,7,8,9}, b ends 2, result ends D=1; 3+2 ends 5; 4+2 ends 6; 5+2 ends 7; 6+2 ends 8; 7+2 ends 9; 8+2 ends 0; 9+2 ends 1 -> none matches -> drop.",1 stated pair(s) actually match the target
38c7aca1,routing,example,transcription,30,394,EQ1 RHS !||{ vs '{') (in order) / '){' (swapped) -> neither.,swapped operand string wrong
3b206148,kill,onesenum,verdict,39,655,"s6: x != a+b-1: EQ5 ones: a ends B in {1,2}, b ends H in {2,3}, result ends I in {1,2,3,4,5,6,7,8,9}; 1+2 then -1 ends 2; 1+3 then -1 ends 3; 2+3 then -1 ends 4 -> none matches -> drop.",3 stated pair(s) actually match the target
3e5c7d9b,kill,onesenum,verdict,49,937,"s16: x != a*b+1: EQ1 ones: a ends 2, b ends 1, result ends E in {3,4,5,6,7,8,9}; 2*1 then +1 ends 3 -> none matches -> drop.",1 stated pair(s) actually match the target
41554020,kill,2mode,verdict,37,716,"s5: x != a*b-1: standard: EQ1 ones: a ends B in {1,2}, b ends B in {1,2}, result ends D in {3,4}; 1*1 then -1 ends 0; 1*2 then -1 ends 1; 2*1 then -1 ends 1; 2*2 then -1 ends 3 -> none matches; little-endian: EQ1 ones: a ends A in {2,3}, b ends B in {1,2}, result ends a's ones symbol; 2*1 then -1 ends 1; 3*1 then -1 ends 2; 3*2 then -1 ends 5 -> none matches -> drop.",1 stated pair(s) actually match the target
42bde66c,kill,onesenum,verdict,48,1112,"s19: x != a*b+1: EQ1 ones: a ends B in {3,4}, b ends D in {3,4}, result ends a's ones symbol; 3*4 then +1 ends 3; 4*3 then +1 ends 3 -> none matches -> drop.",1 stated pair(s) actually match the target
434ca68a,kill,range,verdict,40,800,"s7: x != |a-b|, a+b, a+b-1, a+b+1, a mod b, b mod a, b-a, a-b: EQ1 result has 3 digit(s) (value 100..999) but with a in 10..99, b in 10..99: |a-b| <= 89, a+b <= 198, a+b-1 <= 197, a+b+1 <= 199, a mod b <= 98, b mod a <= 98, b-a <= 89, a-b <= 89 -> drop.",a+b <= 198 does not miss 100..999 | a+b-1 <= 197 does not miss 100..999 | a+b+1 <= 199 does not miss 100..999
46fcfa9c,kill,onesenum,verdict,44,758,"s11: x != a*b: EQ1 ones: a ends 1, b ends C in {2,3,4,5,6,7,8,9}, result ends D in {2,3,4,5,6,7,8,9}; 1*2 ends 2; 1*3 ends 3; 1*4 ends 4; 1*5 ends 5; 1*6 ends 6; 1*7 ends 7; 1*8 ends 8; 1*9 ends 9 -> none matches -> drop.",8 stated pair(s) actually match the target
4de466bf,kill,2mode,verdict,35,737,"s7: x != a+b+1: standard: EQ1 ones: a ends B in {0,1}, b ends D in {1,2}, result ends A in {1,2}; 0+1 then +1 ends 2; 0+2 then +1 ends 3; 1+2 then +1 ends 4 -> none matches; little-endian: EQ1 ones: a ends A in {1,2}, b ends C in {3,4}, result ends E in {1,2}; 1+3 then +1 ends 5; 1+4 then +1 ends 6; 2+3 then +1 ends 6; 2+4 then +1 ends 7 -> none matches -> drop.",1 stated pair(s) actually match the target
56ac76c6,union,digit-map,verdict,18,295,& -> H,"'&' should map to I (first-appearance), got H"
60f55291,table-scan,,verdict,7,137,"EQ3 ""!*\[ chars: 1="" 2=! 3=* 4=\ 5=[ -> op * ; digits "" ! \ [ ; RHS \[]/ -> digits \ ] [ /",RHS digit list != stated RHS
610bf536,kill,onesenum,transcription,45,770,"s13: x != a+b: EQ1 ones: a ends B in {3,4,5,6}, b ends 3, result ends E in {4,5,6,7,8,9}; 3+4 ends 7; 3+5 ends 8; 3+6 ends 9 -> none matches -> drop.",b-ones digit 3 != pin of C (None) | 3 stated pair(s) actually match the target | pair enumeration incomplete vs stated domains
67995540,table-scan,,transcription,7,142,"EQ3 (/:@"" chars: 1=( 2=/ 3=@ 4="" 5=: -> op @ ; digits ( / "" : ; RHS ))]/ -> digits ) ) ] /",indexed chars != prompt LHS
684de068,kill,2mode,transcription,36,547,"s3: x != a*b-1: standard: EQ1 ones: a ends B in {1,2}, b ends D in {0,1}, result ends C in {2,3}; 1*0 then -1 ends 9; 2*0 then -1 ends 9; 2*1 then -1 ends 1 -> none matches; little-endian: EQ1 ones: a ends A in {4,5,6}, b ends C in {2,3}, result ends a's ones symbol; 4*2 then -1 ends 7; 4*3 then -1 ends 1; 5*2 then -1 ends 9; 5*3 then -1 ends 4; 6*2 then -1 ends 1; 6*3 then -1 ends 7 -> none matches -> drop.","b-ones dom [0, 1] contains digits outside tracked [1, 2, 3, 4, 5, 6, 7, 8, 9]"
6beb3a1f,kill,onesenum,verdict,42,675,"s11: x != a*b: EQ1 ones: a ends B in {2,3,4}, b ends C in {2,3}, result ends F in {4,5,6}; 2*3 ends 6; 3*2 ends 6; 4*2 ends 8; 4*3 ends 2 -> none matches -> drop.",2 stated pair(s) actually match the target
6eb85496,kill,onesenum,verdict,47,844,"s15: y != a+b: EQ4 ones: a ends C in {4,5,6,7,8}, b ends E in {4,5,6,7,8}, result ends H in {4,5,6,7,8}; 4+5 ends 9; 4+6 ends 0; 4+7 ends 1; 4+8 ends 2; 5+4 ends 9; 5+6 ends 1; 5+7 ends 2; 5+8 ends 3; 6+4 ends 0; 6+5 ends 1; 6+7 ends 3; 6+8 ends 4; 7+4 ends 1; 7+5 ends 2; 7+6 ends 3; 7+8 ends 5; 8+4 ends 2; 8+5 ends 3; 8+6 ends 4 -> none matches -> drop.",3 stated pair(s) actually match the target | pair enumeration incomplete vs stated domains
712fe3e4,table-scan,,transcription,6,93,"EQ2 $#-'@ chars: 1=$ 2=# 3=- 4=' 5=@ -> op - ; digits $ # ' @ ; RHS -(| -> leading - is the op glyph (sign), digits ( |",RHS '-(|' != prompt '-(]'
787a1344,kill,sign,transcription,37,614,s4: x != -|a-b|: EQ5 result carries no sign glyph but -|a-b| always writes one -> drop.,EQ5 result DOES carry a sign glyph
7a5cfe3e,table-scan,,verdict,9,234,EQ5 [$*^( chars: 1=[ 2=$ 3=* 4=^ 5=( -> op * ; digits [ $ ^ ( ; RHS [}// -> digits [ } } /,RHS digit list != stated RHS
7cac497a,kill,onesenum,verdict,46,820,"s14: z != a+b: EQ3 ones: a ends H in {3,4,5,6,7,8,9}, b ends F in {4,5,6,7,8,9}, result ends A in {3,4,5,6,7,8,9}; 3+4 ends 7; 3+5 ends 8; 3+6 ends 9; 3+7 ends 0; 3+8 ends 1; 3+9 ends 2; 4+5 ends 9; 4+6 ends 0; 4+7 ends 1; 4+8 ends 2; 4+9 ends 3; 5+6 ends 1; 5+7 ends 2; 5+8 ends 3; 5+9 ends 4; 6+7 ends 3; 6+8 ends 4; 6+9 ends 5; 7+8 ends 5; 7+9 ends 6; 8+9 ends 7 -> none matches -> drop.",13 stated pair(s) actually match the target | pair enumeration incomplete vs stated domains
7f21620f,table-scan,,transcription,7,140,"EQ3 ]>(""& chars: 1=] 2=> 3=( 4=> 5=& -> op ( ; digits ] > > & ; RHS ^""! -> digits ^ "" !",indexed chars != prompt LHS
802c3591,kill,range,verdict,35,499,"s3: y != |a-b|, a+b, a+b-1, a+b+1, a mod b, b mod a, b-a, a-b: EQ2 result has 2 digit(s) (value 10..99) but with a in 10..99, b in 10..99: |a-b| <= 89, a+b <= 198, a+b-1 <= 197, a+b+1 <= 199, a mod b <= 98, b mod a <= 98, b-a <= 89, a-b <= 89 -> drop.",|a-b| <= 89 does not miss 10..99 | a+b <= 198 does not miss 10..99 | a+b-1 <= 197 does not miss 10..99 | a+b+1 <= 199 does not miss 10..99
810028f1,kill,range,verdict,35,561,"s4: x != -|a-b|: EQ2 result is negative with 2 digit(s) (value -99..-10) but with a in 10..99, b in 10..99: -|a-b| >= -89 -> drop.",-|a-b| >= -89 does not miss -99..-10
8494aad3,table-scan,,verdict,8,189,"EQ4 #@*## chars: 1=# 2=@ 3=* 4=# 5=# -> op * ; digits # @ # # ; RHS """")` -> digits "" ) "" `",RHS digit list != stated RHS
9081e954,kill,range,arithmetic,38,711,"s5: y != |a-b|, a+b, a+b-1, a+b+1, a mod b, a*b, a*b-1, a*b+1, b mod a: EQ3 result has 1 digit(s) (value 0..9) but with a in 10..99, b in 10..99: |a-b| >= 0, a+b >= 20, a+b-1 >= 19, a+b+1 >= 21, a mod b <= 98, a*b >= 100, a*b-1 >= 99, a*b+1 >= 101, b mod a <= 97 -> drop.",b mod a <= 97 is FALSE (true extreme 98) | |a-b| >= 0 does not miss 0..9 | a mod b <= 98 does not miss 0..9 | b mod a <= 97 does not miss 0..9
923ac2b5,routing,example,transcription,31,450,EQ2 RHS @\]: vs ')'': (in order) / ':') (swapped) -> neither.,in-order operand string wrong
9346686a,kill,onesenum,verdict,46,844,"s13: y != a*b+1: EQ2 ones: a ends D in {2,3}, b ends 1, result ends G in {4,5}; 2*1 then +1 ends 3; 3*1 then +1 ends 4 -> none matches -> drop.",1 stated pair(s) actually match the target
9a19fc2d,kill,enum,transcription,47,806,"s15: x != a mod b: EQ1 readings: a=44, b=63: a mod b = 44, result digit 1 would be 4 but A = 4; a=44, b=73: a mod b = 44, result digit 1 would be 4 but A = 4; a=44, b=83: a mod b = 44, result digit 1 would be 4 but A = 4; a=55, b=63: a mod b = 55, result digit 1 would be 5 but A = 5; a=55, b=73: a mod b = 55, result digit 1 would be 5 but A = 5; a=55, b=83: a mod b = 55, result digit 1 would be 5 but A = 5 -> drop.",A pinned None not 4 | A pinned None not 4 | A pinned None not 4 | A pinned None not 5
9b4cffb2,kill,2mode,verdict,36,554,"s3: x != a*b-1: standard: EQ1 ones: a ends B in {0,1}, b ends A in {1,9}, result ends b's ones symbol; 0*1 then -1 ends 9; 0*9 then -1 ends 9; 1*9 then -1 ends 8 -> none matches; little-endian: EQ1 ones: a ends A in {1,9}, b ends C in {2,3,4}, result ends D in {5,6}; 1*2 then -1 ends 1; 1*3 then -1 ends 2; 1*4 then -1 ends 3; 9*2 then -1 ends 7; 9*3 then -1 ends 6; 9*4 then -1 ends 5 -> none matches -> drop.",1 stated pair(s) actually match the target | 2 stated pair(s) actually match the target
9cc02bc1,,,,,591,,
9eaae1f1,kill,onesenum,verdict,40,651,"s11: x != a*b: EQ1 ones: a ends 1, b ends B in {2,3,4,5,6,7,8,9}, result ends b's ones symbol; 1*2 ends 2; 1*3 ends 3; 1*4 ends 4; 1*5 ends 5; 1*6 ends 6; 1*7 ends 7; 1*8 ends 8; 1*9 ends 9 -> none matches -> drop.",8 stated pair(s) actually match the target
9f8fda8a,table-scan,,transcription,6,99,EQ2 \\)## chars: 1=\ 2=) 3=\ 4=# 5=# -> op \ ; digits \ ) # # ; RHS !<< -> digits ! < <,indexed chars != prompt LHS
9fbd6a44,kill,onesenum,verdict,47,824,"s14: z != a*b: EQ4 ones: a ends A in {3,4,5,6,7,8,9}, b ends C in {3,4,5,6,7,8,9}, result ends E in {3,4,5,6,7,8,9}; 3*4 ends 2; 3*5 ends 5; 3*6 ends 8; 3*7 ends 1; 3*8 ends 4; 3*9 ends 7; 4*3 ends 2; 4*5 ends 0; 4*6 ends 4; 4*7 ends 8; 4*8 ends 2; 4*9 ends 6; 5*3 ends 5; 5*4 ends 0; 5*6 ends 0; 5*7 ends 5; 5*8 ends 0; 5*9 ends 5; 6*3 ends 8; 6*4 ends 4; 6*5 ends 0; 6*7 ends 2; 6*8 ends 8; 6*9 ends 4; 7*3 ends 1; 7*4 ends 8; 7*5 ends 5; 7*6 ends 2; 7*8 ends 6; 7*9 ends 3; 8*3 ends 4; 8*4 ends 2; 8*5 ends 0; 8*6 ends 8; 8*7 ends 6; 8*9 ends 2; 9*3 ends 7; 9*4 ends 6; 9*5 ends 5; 9*6 ends 4; 9*7 ends 3 -> none matches -> drop.",26 stated pair(s) actually match the target | pair enumeration incomplete vs stated domains
a0db1e75,table-scan,,transcription,9,237,"EQ5 '(*</ chars: 1=' 2=( 3=* 4=< 5=/ -> op * ; digits ' ( < / ; RHS /""<? -> digits / "" < ?","RHS '/""<?' != prompt '/""\'?'"
a12f00f4,kill,onesenum,verdict,45,774,"s14: z != a*b: EQ3 ones: a ends C in {3,4}, b ends C in {3,4}, result ends H in {4,5,6,7,8,9}; 3*3 ends 9; 3*4 ends 2; 4*3 ends 2; 4*4 ends 6 -> none matches -> drop.",2 stated pair(s) actually match the target
