id,type,family,axis,line_no,tokens_before,text,note
a1503629,kill,onesenum,verdict,42,709,"s13: y != a*b: EQ2 ones: a ends A in {3,4,5,6,7,8,9}, b ends F in {3,4,5,6,7,8,9}, result ends b's ones symbol; 3*4 ends 2; 3*5 ends 5; 3*6 ends 8; 3*7 ends 1; 3*8 ends 4; 3*9 ends 7; 4*3 ends 2; 4*5 ends 0; 4*6 ends 4; 4*7 ends 8; 4*8 ends 2; 4*9 ends 6; 5*3 ends 5; 5*4 ends 0; 5*6 ends 0; 5*7 ends 5; 5*8 ends 0; 5*9 ends 5; 6*3 ends 8; 6*4 ends 4; 6*5 ends 0; 6*7 ends 2; 6*8 ends 8; 6*9 ends 4; 7*3 ends 1; 7*4 ends 8; 7*5 ends 5; 7*6 ends 2; 7*8 ends 6; 7*9 ends 3; 8*3 ends 4; 8*4 ends 2; 8*5 ends 0; 8*6 ends 8; 8*7 ends 6; 8*9 ends 2; 9*3 ends 7; 9*4 ends 6; 9*5 ends 5; 9*6 ends 4; 9*7 ends 3 -> none matches -> drop.",5 stated pair(s) actually match the target | pair enumeration incomplete vs stated domains
a26065d4,kill,onesenum,verdict,47,810,"s15: x != a+b: EQ5 ones: a ends H in {4,5,6,7,8,9}, b ends J in {0,4,5,6,7,8,9}, result ends D in {4,5,6,7,8,9}; 4+0 ends 4; 4+5 ends 9; 4+6 ends 0; 4+7 ends 1; 4+8 ends 2; 4+9 ends 3; 5+0 ends 5; 5+4 ends 9; 5+6 ends 1; 5+7 ends 2; 5+8 ends 3; 5+9 ends 4; 6+0 ends 6; 6+4 ends 0; 6+5 ends 1; 6+7 ends 3; 6+8 ends 4; 6+9 ends 5; 7+0 ends 7; 7+4 ends 1; 7+5 ends 2; 7+6 ends 3; 7+8 ends 5; 7+9 ends 6; 8+0 ends 8; 8+4 ends 2; 8+5 ends 3; 8+6 ends 4; 8+7 ends 5; 8+9 ends 7; 9+0 ends 9; 9+4 ends 3; 9+5 ends 4; 9+6 ends 5; 9+7 ends 6 -> none matches -> drop.",19 stated pair(s) actually match the target | pair enumeration incomplete vs stated domains
a266aeb5,kill,onesenum,verdict,44,724,"s13: y != a*b: EQ3 ones: a ends A in {3,4,5,6,7,8,9}, b ends 1, result ends a's ones symbol; 3*1 ends 3; 4*1 ends 4; 5*1 ends 5; 6*1 ends 6; 7*1 ends 7; 8*1 ends 8; 9*1 ends 9 -> none matches -> drop.",7 stated pair(s) actually match the target
a610040a,kill,enum,verdict,44,741,"s11: z != a+b: EQ3 readings: a=23, b=21: a+b = 44, result positions 1 and 3 are the same symbol but digits 4 != 4; a=24, b=21: a+b = 45, result positions 1 and 3 are the same symbol but digits 4 != 5; a=25, b=21: a+b = 46, result positions 1 and 3 are the same symbol but digits 4 != 6; a=26, b=21: a+b = 47, result positions 1 and 3 are the same symbol but digits 4 != 7; a=27, b=21: a+b = 48, result positions 1 and 3 are the same symbol but digits 4 != 8; a=28, b=21: a+b = 49, result positions 1 and 3 are the same symbol but digits 4 != 9; a=29, b=21: a+b = 50, result positions 1 and 3 are the same symbol but digits 5 != 0 -> drop.",stated digits 4==4 -> no clash
a644f19d,table-scan,,transcription,6,91,EQ2 `$($<} chars: 1=` 2=$ 3=( 4=$ 5=<} -> op ( ; digits ` $ < } ; RHS %%` -> digits % % `,"LHS '`$($<}' != prompt '`($<}' | indexed chars != prompt LHS | digit list != own stated chars 1,2,4,5"
a77be9fa,kill,range,verdict,34,441,"s3: y != |a-b|, a+b, a+b-1, a+b+1, a mod b, b mod a, b-a, a-b: EQ2 result has 3 digit(s) (value 100..999) but with a in 10..99, b in 10..99: |a-b| <= 89, a+b <= 198, a+b-1 <= 197, a+b+1 <= 199, a mod b <= 98, b mod a <= 98, b-a <= 89, a-b <= 89 -> drop.",a+b <= 198 does not miss 100..999 | a+b-1 <= 197 does not miss 100..999 | a+b+1 <= 199 does not miss 100..999
a88f9fe3,kill,2mode,verdict,34,508,"s3: y != a*b-1: standard: EQ2 ones: a ends G in {1,2}, b ends G in {1,2}, result ends C in {3,4}; 1*1 then -1 ends 0; 1*2 then -1 ends 1; 2*1 then -1 ends 1; 2*2 then -1 ends 3 -> none matches; little-endian: EQ2 ones: a ends F in {6,7}, b ends C in {3,4}, result ends G in {1,2}; 6*3 then -1 ends 7; 6*4 then -1 ends 3; 7*3 then -1 ends 0; 7*4 then -1 ends 7 -> none matches -> drop.",1 stated pair(s) actually match the target
acf8c11f,table-scan,,transcription,8,181,"EQ4 ((\][ chars: 1=( 2=( 3=\ 4=] 5=) -> op \ ; digits ( ( ] ) ; RHS <"" -> digits < """,indexed chars != prompt LHS
ae4aef23,kill,onesenum,verdict,47,846,"s15: x != a+b: EQ3 ones: a ends 1, b ends J in {4,5,6,7,8,9}, result ends D in {4,5,6,7,8,9}; 1+4 ends 5; 1+5 ends 6; 1+6 ends 7; 1+7 ends 8; 1+8 ends 9; 1+9 ends 0 -> none matches -> drop.",5 stated pair(s) actually match the target
ae64d5e4,kill,onesenum,transcription,46,759,"s15: y != a+b: EQ3 ones: a ends H in {0,4,5,6,7,8,9}, b ends J in {0,4,5,6,7,8,9}, result ends I in {4,5,6,7,8,9}; 0+4 ends 4; 0+5 ends 5; 0+6 ends 6; 0+7 ends 7; 0+8 ends 8; 0+9 ends 9; 4+5 ends 9; 4+6 ends 0; 4+7 ends 1; 4+8 ends 2; 4+9 ends 3; 5+6 ends 1; 5+7 ends 2; 5+8 ends 3; 5+9 ends 4; 6+7 ends 3; 6+8 ends 4; 6+9 ends 5; 7+8 ends 5; 7+9 ends 6; 8+9 ends 7 -> none matches -> drop.","b-ones dom [0, 4, 5, 6, 7, 8, 9] contains digits outside tracked [4, 5, 6, 7, 8, 9] | 13 stated pair(s) actually match the target | pair enumeration incomplete vs stated domains"
b2a8384e,table-scan,,transcription,5,48,EQ1 #]-$] chars: 1=# 2=] 3=- 4=] 5=$ -> op - ; digits # ] ] $ ; RHS >| -> digits > |,indexed chars != prompt LHS
b391ffe1,kill,2mode,transcription,33,502,"s3: y != a*b-1: standard: EQ4 ones: a ends F in {2,3}, b ends D in {1,2}, result ends B in {4,5}; 2*1 then -1 ends 1; 3*1 then -1 ends 2; 3*2 then -1 ends 5 -> none matches; little-endian: EQ4 ones: a ends F in {2,3}, b ends A in {6,7}, result ends I in {0,1,9}; 2*6 then -1 ends 1; 2*7 then -1 ends 3; 3*6 then -1 ends 7; 3*7 then -1 ends 0 -> none matches -> drop.",result-ones dom exceeds tracked | 1 stated pair(s) actually match the target | 2 stated pair(s) actually match the target
b9f1d959,bail,assemble,verdict,49,933,s17: refinement exhausted -> assemble the most constrained reading: x = a+b (highest prior remaining); D = 1 (smallest remaining candidate); G = 4 (smallest remaining candidate); H = 5 (smallest remaining candidate); I = 2 (smallest remaining candidate); J = 0 (smallest remaining candidate) (guess).,"H = 5: 5 not in live candidates [3] (taken or excluded) | J = 0: 0 not in live candidates [3, 6, 7, 8, 9] (taken or excluded)"
ba7d54c4,kill,range,verdict,33,613,"s5: x != |a-b|, a+b, a+b-1, a+b+1, a mod b, b mod a, b-a, a-b: EQ1 result has 2 digit(s) (value 10..99) but with a in 10..99, b in 10..99: |a-b| <= 89, a+b <= 198, a+b-1 <= 197, a+b+1 <= 199, a mod b <= 98, b mod a <= 98, b-a <= 89, a-b <= 89 -> drop.",|a-b| <= 89 does not miss 10..99 | a+b <= 198 does not miss 10..99 | a+b-1 <= 197 does not miss 10..99 | a+b+1 <= 199 does not miss 10..99
bb9dd0ad,kill,sign,transcription,37,650,s4: x != -|a-b|: EQ2 result has no sign glyph but -|a-b| always writes one -> drop.,EQ2 result DOES carry a sign glyph
be7a9eb1,routing,example,transcription,28,337,EQ1 RHS %:'? vs '@%] (in order) / %]@' (swapped) -> neither.,swapped operand string wrong
c05828eb,kill,onesenum,verdict,45,784,"s14: y != a+b: EQ2 ones: a ends B in {3,4,5,6}, b ends G in {3,4,5,6,7,8,9}, result ends A=2; 3+4 ends 7; 3+5 ends 8; 3+6 ends 9; 3+7 ends 0; 3+8 ends 1; 3+9 ends 2; 4+5 ends 9; 4+6 ends 0; 4+7 ends 1; 4+8 ends 2; 4+9 ends 3; 5+6 ends 1; 5+7 ends 2; 5+8 ends 3; 5+9 ends 4; 6+7 ends 3; 6+8 ends 4; 6+9 ends 5 -> none matches -> drop.",3 stated pair(s) actually match the target | pair enumeration incomplete vs stated domains
c413ac69,kill,2mode,verdict,31,450,"s3: x != a*b-1: standard: EQ1 ones: a ends B in {1,2}, b ends D in {0,1}, result ends C in {2,3}; 1*0 then -1 ends 9; 2*0 then -1 ends 9; 2*1 then -1 ends 1 -> none matches; little-endian: EQ1 ones: a ends A in {4,5}, b ends C in {2,3}, result ends E in {6,7}; 4*2 then -1 ends 7; 4*3 then -1 ends 1; 5*2 then -1 ends 9; 5*3 then -1 ends 4 -> none matches -> drop.",1 stated pair(s) actually match the target
ca85809b,kill,range,verdict,32,428,"s3: y != |a-b|, a+b, a+b-1, a+b+1, a mod b, b mod a, b-a, a-b: EQ2 result has 3 digit(s) (value 100..999) but with a in 10..99, b in 10..99: |a-b| <= 89, a+b <= 198, a+b-1 <= 197, a+b+1 <= 199, a mod b <= 98, b mod a <= 98, b-a <= 89, a-b <= 89 -> drop.",a+b <= 198 does not miss 100..999 | a+b-1 <= 197 does not miss 100..999 | a+b+1 <= 199 does not miss 100..999
cad4b9a7,kill,2mode,transcription,34,552,"s4: x != a*b-1: standard: EQ3 ones: a ends F in {0,1}, b ends B in {2,3}, result ends a's ones symbol; 0*2 then -1 ends 9; 0*3 then -1 ends 9; 1*2 then -1 ends 1; 1*3 then -1 ends 2 -> none matches; little-endian: EQ3 ones: a ends E in {4,5,6}, b ends G in {4,5,6}, result ends B in {2,3}; 4*5 then -1 ends 9; 4*6 then -1 ends 3; 5*4 then -1 ends 9; 5*6 then -1 ends 9; 6*4 then -1 ends 3; 6*5 then -1 ends 9 -> none matches -> drop.","result ones "" != a's ones ' | 1 stated pair(s) actually match the target | 2 stated pair(s) actually match the target"
cd2e20b9,union,digit-map,transcription,17,243,} (in EQ2) -> H,"symbol '}' mapped twice | '}' should map to G (first-appearance), got H"
d0e1010b,kill,2mode,verdict,34,516,"s3: y != a*b-1: standard: EQ4 ones: a ends A in {1,2}, b ends H in {4,5}, result ends G in {3,6}; 1*4 then -1 ends 3; 1*5 then -1 ends 4; 2*4 then -1 ends 7; 2*5 then -1 ends 9 -> none matches; little-endian: EQ4 ones: a ends B in {2,3}, b ends F in {4,7}, result ends D in {1,9}; 2*4 then -1 ends 7; 2*7 then -1 ends 3; 3*4 then -1 ends 1; 3*7 then -1 ends 0 -> none matches -> drop.",1 stated pair(s) actually match the target | 1 stated pair(s) actually match the target
d13e92ec,kill,2mode,verdict,37,633,"s5: y != a+b-1: standard: EQ4 ones: a ends C in {1,2}, b ends H in {2,3}, result ends b's ones symbol; 1+2 then -1 ends 2; 1+3 then -1 ends 3; 2+3 then -1 ends 4 -> none matches; little-endian: EQ4 ones: a ends C in {1,2}, b ends F in {4,5,6}, result ends a's ones symbol; 1+4 then -1 ends 4; 1+5 then -1 ends 5; 1+6 then -1 ends 6; 2+4 then -1 ends 5; 2+5 then -1 ends 6; 2+6 then -1 ends 7 -> none matches -> drop.",2 stated pair(s) actually match the target
d23f4166,kill,enum,transcription,41,672,"s13: x != a mod b: EQ1 readings: a=23, b=22: a mod b = 1, result digit 1 would be 1 but 1 is taken by D; a=24, b=22: a mod b = 2, result digit 1 would be 2 but 2 is taken by A; a=25, b=22: a mod b = 3, result digit 1 would be 3 but 3 is taken by B; a=26, b=22: a mod b = 4, result digit 1 would be 4 but 4 is taken by B; a=27, b=22: a mod b = 5, result digit 1 would be 5 but 5 is taken by B; a=28, b=22: a mod b = 6, result digit 1 would be 6 but 6 is taken by B; a=29, b=22: a mod b = 7, result digit 1 would be 7 but 7 is taken by B -> drop.",3 not pinned to B (None) | 4 not pinned to B (None) | 5 not pinned to B (None) | 6 not pinned to B (None)
d29e19a4,kill,range,verdict,35,493,"s3: y != |a-b|, a+b, a+b-1, a+b+1, a mod b, b mod a, b-a, a-b: EQ2 result has 3 digit(s) (value 100..999) but with a in 10..99, b in 10..99: |a-b| <= 89, a+b <= 198, a+b-1 <= 197, a+b+1 <= 199, a mod b <= 98, b mod a <= 98, b-a <= 89, a-b <= 89 -> drop.",a+b <= 198 does not miss 100..999 | a+b-1 <= 197 does not miss 100..999 | a+b+1 <= 199 does not miss 100..999
d2fe9d04,kill,onesenum,verdict,46,1134,"s17: z != a*b+1: EQ3 ones: a ends D in {2,3,4}, b ends B in {2,3,4}, result ends b's ones symbol; 2*3 then +1 ends 7; 2*4 then +1 ends 9; 3*2 then +1 ends 7; 3*4 then +1 ends 3; 4*2 then +1 ends 9; 4*3 then +1 ends 3 -> none matches -> drop.",1 stated pair(s) actually match the target
d350828e,routing,example,transcription,31,424,"EQ4 RHS !//| vs }"">/ (in order) / >/}""/ (swapped) -> neither.",swapped operand string wrong
d5602cc5,union,digit-map,transcription,17,244,> -> H,symbol '>' not a digit symbol of the prompt
d6c03e21,table-scan,,transcription,8,183,"EQ4 :*$$, chars: 1=: 2=* 3=$ 4=$ 5=) -> op $ ; digits : * $ ) ; RHS #[!& -> digits # [ ! &","LHS ':*$$,' != prompt ""':*$$"" | indexed chars != prompt LHS"
d7662688,,,,,420,,
d7aec90d,kill,2mode,verdict,33,619,"s4: y != a*b+1: standard: EQ2 ones: a ends C in {1,2}, b ends E in {4,5}, result ends b's ones symbol; 1*4 then +1 ends 5; 1*5 then +1 ends 6; 2*4 then +1 ends 9; 2*5 then +1 ends 1 -> none matches; little-endian: EQ2 ones: a ends D in {2,3}, b ends C in {1,2}, result ends F in {3,4}; 2*1 then +1 ends 3; 3*1 then +1 ends 4; 3*2 then +1 ends 7 -> none matches -> drop.",2 stated pair(s) actually match the target
d7bcb4a6,kill,range,verdict,35,489,"s3: y != |a-b|, a mod b, b mod a, b-a, a-b: EQ2 result has 2 digit(s) (value 10..99) but with a in 10..99, b in 10..99: |a-b| <= 89, a mod b <= 98, b mod a <= 98, b-a <= 89, a-b <= 89 -> drop.",|a-b| <= 89 does not miss 10..99 | a mod b <= 98 does not miss 10..99 | b mod a <= 98 does not miss 10..99 | b-a <= 89 does not miss 10..99
d8d87a89,table-scan,,transcription,7,133,"EQ3 '>"">{ chars: 1=' 2=> 3=} 4="" 5=> -> op } ; digits ' > "" > ; RHS #!# -> digits # ! #",indexed chars != prompt LHS
dbdbbaa3,kill,2mode,verdict,33,490,"s3: x != a*b-1: standard: EQ1 ones: a ends B in {1,2}, b ends B in {1,2}, result ends a's ones symbol; 1*1 then -1 ends 0; 1*2 then -1 ends 1; 2*1 then -1 ends 1; 2*2 then -1 ends 3 -> none matches; little-endian: EQ1 ones: a ends A in {4,5}, b ends C in {2,3}, result ends b's ones symbol; 4*2 then -1 ends 7; 4*3 then -1 ends 1; 5*2 then -1 ends 9; 5*3 then -1 ends 4 -> none matches -> drop.",1 stated pair(s) actually match the target
dc6c0d49,table-scan,,transcription,7,136,EQ3 (**?! chars: 1=( 2=\ 3=* 4=? 5=! -> op * ; digits ( \ ? ! ; RHS |:?( -> digits | : ? (,LHS '(**?!' != prompt '\\(*?!' | indexed chars != prompt LHS
df3262bc,kill,onesenum,verdict,42,685,"s11: y != a*b: EQ3 ones: a ends D in {2,3,4}, b ends C in {2,3,4}, result ends A in {6,7,8,9}; 2*3 ends 6; 2*4 ends 8; 3*2 ends 6; 3*4 ends 2; 4*2 ends 8; 4*3 ends 2 -> none matches -> drop.",4 stated pair(s) actually match the target
e483e127,routing,example,transcription,27,334,EQ1 RHS ]>:: vs )]>): (in order) / >))] (swapped) -> neither.,in-order operand string wrong
e582df31,kill,range,verdict,36,723,"s6: y != |a-b|, a mod b, b mod a, b-a, a-b: EQ2 result has 2 digit(s) (value 10..99) but with a in 10..99, b in 10..99: |a-b| <= 89, a mod b <= 98, b mod a <= 98, b-a <= 89, a-b <= 89 -> drop.",|a-b| <= 89 does not miss 10..99 | a mod b <= 98 does not miss 10..99 | b mod a <= 98 does not miss 10..99 | b-a <= 89 does not miss 10..99
eac0e775,,,,,440,,
f06547b1,union,digit-map,verdict,19,340,' -> H,"""'"" should map to I (first-appearance), got H"
f2a25cf9,table-scan,,transcription,8,190,EQ4 ))\#? chars: 1=) 2=) 3=\ 4=# 5=? -> op \ ; digits ) ) # ? ; RHS \&: -> digits \ & :,missed leading sign glyph of prompt RHS
f624f57c,kill,range,verdict,34,476,"s3: y != |a-b|, a mod b, b mod a, b-a, a-b: EQ3 result has 2 digit(s) (value 10..99) but with a in 10..99, b in 10..99: |a-b| <= 89, a mod b <= 98, b mod a <= 98, b-a <= 89, a-b <= 89 -> drop.",|a-b| <= 89 does not miss 10..99 | a mod b <= 98 does not miss 10..99 | b mod a <= 98 does not miss 10..99 | b-a <= 89 does not miss 10..99
f7828fc1,table-scan,,transcription,7,134,EQ3 ]{+]{ chars: 1=] 2={ 3=+ 4=] 5={ -> op + ; digits ] { ] { ; RHS ]{:{ -> digits ] { : {,RHS ']{:{' != prompt ']{]{'
f7d26b8d,table-scan,,transcription,6,89,"EQ2 \}-%` chars: 1=\ 2=} 3=- 4=% 5=` -> op - ; digits \ } % ` ; RHS -\/ -> leading - is the op glyph (sign), digits \ /",RHS '-\\/' != prompt '-\\}'
f80d2e10,union,digit-map,verdict,17,289,& -> G,"'&' should map to H (first-appearance), got G"
fa714b83,kill,range,arithmetic,36,518,"s3: z != |a-b|, a mod b, b mod a, b-a, a-b: EQ4 result has 1 digit(s) (value 0..9) but with a in 10..99, b in 10..99: |a-b| >= 1, a mod b >= 0, b mod a >= 0, b-a >= -98, a-b >= -98 -> drop.",|a-b| >= 1 is FALSE (true extreme 0) | |a-b| >= 1 does not miss 0..9 | a mod b >= 0 does not miss 0..9 | b mod a >= 0 does not miss 0..9
ff0e37ae,,,,,446,,
